Регион,Период,Несовершеннолетние,Ранее_судимые,В_состоянии_опьянения,Иностранцы_и_СНГ
Орловская область,042022,2545,2,12,0
Рязанская область,042022,2794,1,31,2
Смоленская область,042022,4328,5,58,2
Тамбовская область,042022,4414,12,21,0
Тверская область,042022,6062,3,94,2
Тульская область,042022,4639,5,39,6
Ярославская область,042022,4771,8,30,2
Архангельская область,042022,4898,10,68,0
Ненецкий автономный округ,042022,212,0,16,0
г. Санкт-Петербург,042022,19301,155,42,22
Ленинградская область,042022,8172,28,17,27
Вологодская область,042022,5209,2,28,4
Калининградская область,042022,3900,1,46,4
Мурманская область,042022,3496,5,53,6
Новгородская  область,042022,3111,5,24,0
Псковская область,042022,2705,16,49,5
Республика Карелия,042022,4011,12,48,9
Республика Коми,042022,4468,13,26,0
Кабардино-Балкарская Республика,042022,2427,0,25,0
Карачаево-Черкесская Республика,042022,1557,0,37,0
Республика Дагестан,042022,5243,1,43,6
Республика Ингушетия,042022,675,0,27,0
Республика Северная Осетия – Алания,042022,2615,0,65,0
Ставропольский край,042022,10863,0,16,4
Чеченская Республика,042022,760,0,11,1
Астраханская область,042022,4278,5,39,0
Волгоградская область,042022,11408,16,43,2
г. Севастополь,042022,2049,0,28,1
Ростовская область,042022,18338,3,157,2
Краснодарский край,042022,24525,2,291,8
Республика Адыгея,042022,1453,3,35,0
Республика Калмыкия,042022,903,2,12,0
Республика Крым,042022,6229,2,84,3
Кировская область,042022,5135,72,73,0
Нижегородская область,042022,12352,26,41,8
Оренбургская область,042022,6983,13,148,1
Пензенская область,042022,3837,13,62,0
Пермский край,042022,12376,44,52,1
Республика Татарстан,042022,16894,4,52,5
Республика Башкортостан,042022,15778,37,116,13
Республика Марий Эл,042022,2389,4,31,0
Республика Мордовия,042022,2462,5,21,0
Самарская область,042022,14063,272,89,6
Саратовская область,042022,9418,67,74,1
Удмуртская Республика,042022,7521,6,80,1
Ульяновская область,042022,3656,17,21,0
Чувашская Республика,042022,3697,4,31,0
Курганская область,042022,4002,0,76,2
Свердловская область,042022,16080,9,84,3
Тюменская область,042022,7339,5,72,2
Ханты-Мансийский автономный округ –  Югра,042022,6120,9,31,1
Ямало-Ненецкий автономный округ,042022,2064,2,24,0
Челябинская область,042022,19522,46,217,3
Алтайский край,042022,11999,15,115,2
Иркутская область,042022,10994,4,45,1
Кемеровская область – Кузбасс,042022,14207,63,100,11
Красноярский край,042022,13755,99,115,11
Новосибирская область,042022,13755,107,111,31
Омская область,042022,6981,29,65,7
Республика Алтай,042022,1594,2,23,0
Республика Тыва,042022,1920,11,11,2
Республика Хакасия,042022,2968,10,34,1
Томская область,042022,4922,21,40,5
Амурская область,042022,4540,12,137,0
Еврейская автономная область,042022,828,1,19,0
Забайкальский край,042022,6175,17,76,1
Камчатский край,042022,1758,13,31,3
Магаданская область,042022,675,0,26,0
Приморский край,042022,9860,106,210,29
Республика Бурятия,042022,6069,40,64,3
Республика Саха (Якутия),042022,3689,1,21,1
Сахалинская область,042022,2418,6,39,0
Хабаровский край,042022,5963,4,43,10
Чукотский автономный округ,042022,286,0,24,0
Транспорт России,042022,11905,0,196,639
УТ МВД по Южному ФО,042022,571,0,11,27
УТ МВД по Уральскому ФО,042022,1358,0,23,45
УТ МВД по Центральному ФО,042022,1878,0,8,134
УТ МВД по Приволжскому ФО,042022,2035,0,31,184
УТ МВД по Сибирскому ФО,042022,1382,0,33,64
УТ МВД по Северо-Западному ФО,042022,1529,0,18,77
УТ МВД по Дальневосточному ФО,042022,1040,0,18,20
УТ МВД по Северо-Кавказскому ФО,042022,1143,0,27,60
Белгородская область,052021,5625,2,37,7
Брянская область,052021,5799,5,80,2
Владимирская область,052021,6197,2,87,2
Воронежская область,052021,11530,2,71,6
Ивановская область,052021,4686,3,20,0
Калужская область,052021,6341,3,103,0
Костромская область,052021,3306,0,8,0
Курская область,052021,5363,3,39,6
г. Москва,052021,59425,148,35,20
Московская область,052021,30607,6,60,3
Липецкая область,052021,4952,0,32,2
Орловская область,052021,2973,5,30,0
Рязанская область,052021,3564,0,32,3
Смоленская область,052021,5337,4,68,6
Тамбовская область,052021,5516,5,28,1
Тверская область,052021,7784,1,46,2
Тульская область,052021,5468,18,50,7
Ярославская область,052021,6085,6,20,0
Архангельская область,052021,6276,3,35,6
Ненецкий автономный округ,052021,300,0,30,0
г. Санкт-Петербург,052021,24671,37,54,27
Ленинградская область,052021,10023,5,29,3
Вологодская область,052021,6785,6,40,0
Калининградская область,052021,4758,1,54,4
Мурманская область,052021,4413,3,66,13
Новгородская  область,052021,4110,5,49,0
Псковская область,052021,2985,6,53,1
Республика Карелия,052021,5206,6,44,1
Республика Коми,052021,5482,1,42,0
Кабардино-Балкарская Республика,052021,3096,0,12,1
Карачаево-Черкесская Республика,052021,1757,0,36,1
Республика Дагестан,052021,6411,0,93,12
Республика Ингушетия,052021,828,0,18,3
Республика Северная Осетия – Алания,052021,3329,0,82,0
Ставропольский край,052021,13915,0,21,12
Чеченская Республика,052021,1500,6,20,1
Астраханская область,052021,5594,1,53,2
Волгоградская область,052021,14257,4,92,0
г. Севастополь,052021,2224,0,20,0
Ростовская область,052021,23324,0,188,10
Краснодарский край,052021,30783,4,377,7
Республика Адыгея,052021,1854,0,42,0
Республика Калмыкия,052021,1156,0,22,0
Республика Крым,052021,8044,1,72,9
Кировская область,052021,7216,54,74,0
Нижегородская область,052021,16692,26,45,5
Оренбургская область,052021,10425,3,124,1
Пензенская область,052021,5296,1,52,0
Пермский край,052021,15595,43,190,2
Республика Татарстан,052021,21590,6,63,3
Республика Башкортостан,052021,21261,28,119,5
Республика Марий Эл,052021,2657,14,62,0
Республика Мордовия,052021,3279,10,86,0
Самарская область,052021,17391,308,115,3
Саратовская область,052021,12086,148,37,1
Удмуртская Республика,052021,10581,19,51,2
Ульяновская область,052021,4699,31,33,2
Чувашская Республика,052021,4908,6,67,0
Курганская область,052021,5270,5,99,0
Свердловская область,052021,21767,13,113,5
Тюменская область,052021,9282,6,71,6
Ханты-Мансийский автономный округ –  Югра,052021,8264,14,42,0
Ямало-Ненецкий автономный округ,052021,2942,4,26,0
Челябинская область,052021,24115,48,225,8
Алтайский край,052021,15447,18,109,7
Иркутская область,052021,14660,2,63,1
Кемеровская область – Кузбасс,052021,19114,2,169,4
Красноярский край,052021,17684,65,200,8
Новосибирская область,052021,18069,104,133,17
Омская область,052021,9843,7,70,10
Республика Алтай,052021,1860,0,31,0
Республика Тыва,052021,3517,10,14,0
Республика Хакасия,052021,4317,3,20,0
Томская область,052021,6347,1,38,4
Амурская область,052021,6939,10,147,0
Еврейская автономная область,052021,1133,0,21,0
Забайкальский край,052021,8286,22,138,4
Камчатский край,052021,2266,19,50,0
Магаданская область,052021,944,1,49,2
Приморский край,052021,13076,99,270,36
Республика Бурятия,052021,8182,79,82,1
Республика Саха (Якутия),052021,4650,2,10,0
Сахалинская область,052021,3223,10,56,1
Хабаровский край,052021,8532,2,39,0
Чукотский автономный округ,052021,294,0,24,0
Транспорт России,052021,15459,2,301,835
УТ МВД по Южному ФО,052021,684,0,40,30
УТ МВД по Уральскому ФО,052021,1816,0,51,57
УТ МВД по Центральному ФО,052021,2671,1,18,397
УТ МВД по Приволжскому ФО,052021,2695,1,21,65
УТ МВД по Сибирскому ФО,052021,1845,0,31,39
УТ МВД по Северо-Западному ФО,052021,1688,0,15,121
УТ МВД по Дальневосточному ФО,052021,1373,0,51,19
УТ МВД по Северо-Кавказскому ФО,052021,1309,0,28,53
Белгородская область,052022,5399,0,51,4
Брянская область,052022,5701,4,58,12
Владимирская область,052022,6045,3,56,0
Воронежская область,052022,12296,14,50,2
Ивановская область,052022,4522,7,44,0
Калужская область,052022,5659,6,118,1
Костромская область,052022,2994,0,10,0
Курская область,052022,5389,1,54,9
г. Москва,052022,57868,111,75,26
Московская область,052022,30114,24,66,3
Липецкая область,052022,5120,0,37,2
Орловская область,052022,3223,3,15,0
Рязанская область,052022,3522,1,42,3
Смоленская область,052022,5490,5,102,1
Тамбовская область,052022,5478,14,24,0
Тверская область,052022,8006,4,108,3
Тульская область,052022,5797,10,42,9
Ярославская область,052022,5941,10,38,2
Архангельская область,052022,6301,9,76,0
Ненецкий автономный округ,052022,263,0,16,0
г. Санкт-Петербург,052022,23967,202,49,23
Ленинградская область,052022,10381,33,18,28
Вологодская область,052022,6579,3,34,4
Калининградская область,052022,4991,1,51,4
Мурманская область,052022,4442,7,71,3
Новгородская  область,052022,4009,6,27,0
Псковская область,052022,3387,22,64,6
Республика Карелия,052022,4814,19,71,9
Республика Коми,052022,5658,18,33,0
Кабардино-Балкарская Республика,052022,3015,0,29,0
Карачаево-Черкесская Республика,052022,1955,0,46,0
Республика Дагестан,052022,6331,2,60,9
Республика Ингушетия,052022,831,0,29,0
Республика Северная Осетия – Алания,052022,3165,0,82,1
Ставропольский край,052022,13498,0,23,4
Чеченская Республика,052022,920,0,14,1
Астраханская область,052022,5359,6,49,0
Волгоградская область,052022,14399,21,60,2
г. Севастополь,052022,2533,0,31,1
Ростовская область,052022,23233,2,185,2
Краснодарский край,052022,30613,4,359,11
Республика Адыгея,052022,1823,3,40,0
Республика Калмыкия,052022,1127,2,19,0
Республика Крым,052022,7847,3,103,6
Кировская область,052022,6577,90,97,0
Нижегородская область,052022,15514,32,51,11
Оренбургская область,052022,8716,14,170,2
Пензенская область,052022,4806,17,77,0
Пермский край,052022,15528,62,64,2
Республика Татарстан,052022,21347,6,64,6
Республика Башкортостан,052022,19748,43,132,8
Республика Марий Эл,052022,2955,6,54,0
Республика Мордовия,052022,3055,7,22,0
Самарская область,052022,17827,335,111,5
Саратовская область,052022,11671,94,92,1
Удмуртская Республика,052022,9512,7,93,2
Ульяновская область,052022,4612,25,34,0
Чувашская Республика,052022,4727,6,38,0
Курганская область,052022,5154,1,103,2
Свердловская область,052022,20454,13,118,4
Тюменская область,052022,9418,8,78,2
Ханты-Мансийский автономный округ –  Югра,052022,7747,12,43,3
Ямало-Ненецкий автономный округ,052022,2576,3,32,0
Челябинская область,052022,24895,56,263,6
Алтайский край,052022,15129,18,130,2
Иркутская область,052022,13869,9,55,1
Кемеровская область – Кузбасс,052022,17771,79,146,11
Красноярский край,052022,17356,130,146,9
Новосибирская область,052022,17438,135,134,36
Омская область,052022,8684,37,78,3
Республика Алтай,052022,1956,3,26,0
Республика Тыва,052022,2510,14,13,2
Республика Хакасия,052022,3717,13,40,2
Томская область,052022,6437,26,55,5
Амурская область,052022,5923,17,162,1
Еврейская автономная область,052022,1055,1,29,0
Забайкальский край,052022,7904,23,102,1
Камчатский край,052022,2139,16,41,3
Магаданская область,052022,861,2,37,0
Приморский край,052022,12520,122,276,32
Республика Бурятия,052022,7774,54,74,3
Республика Саха (Якутия),052022,4672,1,30,0
Сахалинская область,052022,3030,6,51,0
Хабаровский край,052022,7746,5,54,11
Чукотский автономный округ,052022,347,0,26,0
Транспорт России,052022,14753,0,226,704
УТ МВД по Южному ФО,052022,672,0,15,32
УТ МВД по Уральскому ФО,052022,1688,0,25,61
УТ МВД по Центральному ФО,052022,2342,0,7,158
УТ МВД по Приволжскому ФО,052022,2601,0,34,157
УТ МВД по Сибирскому ФО,052022,1681,0,38,71
УТ МВД по Северо-Западному ФО,052022,1926,0,25,92
УТ МВД по Дальневосточному ФО,052022,1300,0,19,25
УТ МВД по Северо-Кавказскому ФО,052022,1386,0,30,68
Белгородская область,062021,6795,2,47,9
Брянская область,062021,6964,7,88,2
Владимирская область,062021,7521,3,97,2
Воронежская область,062021,13737,3,83,6
Ивановская область,062021,5655,3,38,1
Калужская область,062021,7650,4,135,0
Костромская область,062021,3995,1,8,0
Курская область,062021,6509,3,47,6
г. Москва,062021,71592,164,39,24
Московская область,062021,36838,7,72,6
Липецкая область,062021,5926,0,38,1
Орловская область,062021,3575,5,38,0
Рязанская область,062021,4239,0,38,6
Смоленская область,062021,6445,4,90,4
Тамбовская область,062021,6654,5,31,1
Тверская область,062021,9491,1,61,2
Тульская область,062021,6417,21,65,9
Ярославская область,062021,7299,6,28,0
Архангельская область,062021,7627,3,37,6
Ненецкий автономный округ,062021,353,0,39,0
г. Санкт-Петербург,062021,28842,42,61,25
Ленинградская область,062021,12449,5,41,3
Вологодская область,062021,8226,7,42,0
Калининградская область,062021,6044,4,63,8
Мурманская область,062021,5403,4,80,8
Новгородская  область,062021,5097,5,55,0
Псковская область,062021,3649,7,67,1
Республика Карелия,062021,6298,7,59,2
Республика Коми,062021,6753,1,49,0
Кабардино-Балкарская Республика,062021,3743,1,13,2
Карачаево-Черкесская Республика,062021,2125,0,40,1
Республика Дагестан,062021,7547,0,113,15
Республика Ингушетия,062021,1003,0,18,2
Республика Северная Осетия – Алания,062021,3972,0,101,0
Ставропольский край,062021,16689,0,23,14
Чеченская Республика,062021,1720,6,23,0
Астраханская область,062021,6811,1,62,3
Волгоградская область,062021,17728,5,113,0
г. Севастополь,062021,2655,0,26,0
Ростовская область,062021,27888,0,212,9
Краснодарский край,062021,36556,5,450,9
Республика Адыгея,062021,2067,2,48,0
Республика Калмыкия,062021,1393,1,22,0
Республика Крым,062021,9715,2,102,7
Кировская область,062021,8642,64,111,0
Нижегородская область,062021,20091,30,70,5
Оренбургская область,062021,12322,4,168,1
Пензенская область,062021,6419,2,83,0
Пермский край,062021,18705,55,227,3
Республика Татарстан,062021,25849,7,79,7
Республика Башкортостан,062021,25507,34,136,6
Республика Марий Эл,062021,3320,15,69,1
Республика Мордовия,062021,3966,11,104,0
Самарская область,062021,21031,374,141,3
Саратовская область,062021,14522,173,58,1
Удмуртская Республика,062021,12851,22,63,2
Ульяновская область,062021,5723,36,38,2
Чувашская Республика,062021,5891,8,75,0
Курганская область,062021,6401,5,118,0
Свердловская область,062021,26355,18,136,6
Тюменская область,062021,11354,7,105,7
Ханты-Мансийский автономный округ –  Югра,062021,10011,13,51,0
Ямало-Ненецкий автономный округ,062021,3587,4,32,0
Челябинская область,062021,29659,56,297,7
Алтайский край,062021,18677,22,121,6
Иркутская область,062021,17793,2,66,3
Кемеровская область – Кузбасс,062021,23565,3,211,3
Красноярский край,062021,21572,74,246,9
Новосибирская область,062021,22062,119,156,20
Омская область,062021,11924,7,110,12
Республика Алтай,062021,2212,0,34,0
Республика Тыва,062021,4229,10,19,0
Республика Хакасия,062021,5158,4,23,1
Томская область,062021,7848,1,48,6
Амурская область,062021,8426,14,171,0
Еврейская автономная область,062021,1393,0,28,0
Забайкальский край,062021,10023,28,161,4
Камчатский край,062021,2752,24,49,1
Магаданская область,062021,1116,2,51,3
Приморский край,062021,15974,118,336,41
Республика Бурятия,062021,9981,86,101,1
Республика Саха (Якутия),062021,5862,2,19,0
Сахалинская область,062021,4021,14,80,1
Хабаровский край,062021,10233,2,48,2
Чукотский автономный округ,062021,365,0,29,0
Транспорт России,062021,18576,2,384,955
УТ МВД по Южному ФО,062021,776,0,50,35
УТ МВД по Уральскому ФО,062021,2051,0,75,63
УТ МВД по Центральному ФО,062021,3254,1,19,439
УТ МВД по Приволжскому ФО,062021,3366,1,24,68
УТ МВД по Сибирскому ФО,062021,2278,0,39,46
УТ МВД по Северо-Западному ФО,062021,2000,0,21,144
УТ МВД по Дальневосточному ФО,062021,1618,0,64,24
УТ МВД по Северо-Кавказскому ФО,062021,1531,0,38,63
Белгородская область,062022,6587,1,62,4
Брянская область,062022,6771,6,66,12
Владимирская область,062022,7318,5,65,0
Воронежская область,062022,14963,19,59,2
Ивановская область,062022,5534,11,48,0
Калужская область,062022,6821,12,128,1
Костромская область,062022,3768,0,10,0
Курская область,062022,6517,1,62,9
г. Москва,062022,69851,133,88,32
Московская область,062022,36596,34,72,3
Липецкая область,062022,6184,0,43,2
Орловская область,062022,3940,5,21,0
Рязанская область,062022,4262,1,52,3
Смоленская область,062022,6753,6,125,1
Тамбовская область,062022,6652,15,35,0
Тверская область,062022,9706,8,123,3
Тульская область,062022,6776,11,56,10
Ярославская область,062022,7287,10,51,3
Архангельская область,062022,7575,9,88,1
Ненецкий автономный округ,062022,324,0,17,0
г. Санкт-Петербург,062022,28454,260,55,27
Ленинградская область,062022,13107,41,24,30
Вологодская область,062022,7975,6,44,4
Калининградская область,062022,6091,3,60,6
Мурманская область,062022,5401,12,92,3
Новгородская  область,062022,4937,6,30,0
Псковская область,062022,3991,23,78,7
Республика Карелия,062022,5738,21,75,9
Республика Коми,062022,6743,25,44,0
Кабардино-Балкарская Республика,062022,3541,1,33,0
Карачаево-Черкесская Республика,062022,2285,0,50,0
Республика Дагестан,062022,7614,2,66,9
Республика Ингушетия,062022,1039,0,38,0
Республика Северная Осетия – Алания,062022,3846,0,92,1
Ставропольский край,062022,16339,0,26,6
Чеченская Республика,062022,1085,0,16,1
Астраханская область,062022,6499,8,61,0
Волгоградская область,062022,17909,23,90,2
г. Севастополь,062022,3021,0,31,2
Ростовская область,062022,27894,4,249,4
Краснодарский край,062022,37171,5,469,12
Республика Адыгея,062022,2208,4,41,0
Республика Калмыкия,062022,1337,2,25,0
Республика Крым,062022,9595,3,134,8
Кировская область,062022,8046,107,109,0
Нижегородская область,062022,19080,36,60,16
Оренбургская область,062022,10483,17,197,2
Пензенская область,062022,6294,22,104,0
Пермский край,062022,19095,69,84,2
Республика Татарстан,062022,26145,6,74,5
Республика Башкортостан,062022,23904,51,180,8
Республика Марий Эл,062022,3579,9,63,0
Республика Мордовия,062022,3728,9,30,0
Самарская область,062022,22684,420,140,5
Саратовская область,062022,14130,111,112,1
Удмуртская Республика,062022,11718,10,118,2
Ульяновская область,062022,5602,24,36,0
Чувашская Республика,062022,5887,6,61,0
Курганская область,062022,6242,1,116,2
Свердловская область,062022,24786,13,136,6
Тюменская область,062022,11714,9,97,3
Ханты-Мансийский автономный округ –  Югра,062022,9790,14,58,3
Ямало-Ненецкий автономный округ,062022,3180,3,34,0
Челябинская область,062022,30345,70,313,9
Алтайский край,062022,18302,22,149,3
Иркутская область,062022,17031,9,61,0
Кемеровская область – Кузбасс,062022,21991,91,212,14
Красноярский край,062022,20901,156,179,16
Новосибирская область,062022,21744,159,155,43
Омская область,062022,10628,53,94,4
Республика Алтай,062022,2328,3,33,0
Республика Тыва,062022,3055,25,18,2
Республика Хакасия,062022,4487,24,49,2
Томская область,062022,8301,33,69,6
Амурская область,062022,7298,20,189,0
Еврейская автономная область,062022,1294,2,35,0
Забайкальский край,062022,9646,33,128,1
Камчатский край,062022,2593,24,46,3
Магаданская область,062022,1049,2,46,0
Приморский край,062022,15542,144,406,34
Республика Бурятия,062022,9622,65,88,3
Республика Саха (Якутия),062022,5803,0,51,1
Сахалинская область,062022,3819,6,70,0
Хабаровский край,062022,9736,5,56,11
Чукотский автономный округ,062022,407,0,30,0
Транспорт России,062022,17553,0,311,861
УТ МВД по Южному ФО,062022,787,0,31,58
УТ МВД по Уральскому ФО,062022,1961,0,35,74
УТ МВД по Центральному ФО,062022,2824,0,22,221
УТ МВД по Приволжскому ФО,062022,3159,0,39,157
УТ МВД по Сибирскому ФО,062022,2004,0,49,86
УТ МВД по Северо-Западному ФО,062022,2275,0,33,114
УТ МВД по Дальневосточному ФО,062022,1559,0,21,30
УТ МВД по Северо-Кавказскому ФО,062022,1593,0,36,73
Белгородская область,072021,7959,2,50,8
Брянская область,072021,8039,7,94,4
Владимирская область,072021,8731,4,116,2
Воронежская область,072021,16067,3,93,7
Ивановская область,072021,6583,4,44,1
Калужская область,072021,8767,4,157,0
Костромская область,072021,4674,1,10,0
Курская область,072021,7475,3,49,6
г. Москва,072021,82702,181,55,27
Московская область,072021,42441,8,90,9
Липецкая область,072021,6808,0,39,1
Орловская область,072021,4144,6,40,0
Рязанская область,072021,4885,1,41,6
Смоленская область,072021,7565,4,99,5
Тамбовская область,072021,7686,7,33,1
Тверская область,072021,11101,1,69,2
Тульская область,072021,7690,21,85,10
Ярославская область,072021,8469,7,36,0
Архангельская область,072021,8879,6,46,6
Ненецкий автономный округ,072021,422,0,53,0
г. Санкт-Петербург,072021,34190,49,71,28
Ленинградская область,072021,14656,5,50,3
Вологодская область,072021,9541,12,45,0
Калининградская область,072021,7112,4,73,12
Мурманская область,072021,6204,4,102,8
Новгородская  область,072021,5988,6,50,0
Псковская область,072021,4247,9,76,0
Республика Карелия,072021,7298,15,70,7
Республика Коми,072021,7898,2,54,0
Кабардино-Балкарская Республика,072021,4222,1,14,2
Карачаево-Черкесская Республика,072021,2471,0,51,1
Республика Дагестан,072021,8418,0,129,16
Республика Ингушетия,072021,1154,0,21,2
Республика Северная Осетия – Алания,072021,4503,0,111,1
Ставропольский край,072021,19530,1,27,17
Чеченская Республика,072021,1871,6,24,1
Астраханская область,072021,7847,1,65,4
Волгоградская область,072021,20811,7,137,0
г. Севастополь,072021,3130,0,32,0
Ростовская область,072021,32240,0,276,10
Краснодарский край,072021,42782,4,513,12
Республика Адыгея,072021,2356,3,54,0
Республика Калмыкия,072021,1621,1,22,0
Республика Крым,072021,11343,3,107,7
Кировская область,072021,10133,76,118,0
Нижегородская область,072021,23164,36,83,5
Оренбургская область,072021,14413,5,202,2
Пензенская область,072021,7495,5,95,0
Пермский край,072021,22154,60,239,5
Республика Татарстан,072021,30254,10,92,11
Республика Башкортостан,072021,29677,36,167,6
Республика Марий Эл,072021,3958,18,74,1
Республика Мордовия,072021,4588,12,121,0
Самарская область,072021,24648,434,161,3
Саратовская область,072021,16984,202,60,1
Удмуртская Республика,072021,15083,23,71,2
Ульяновская область,072021,6672,40,46,2
Чувашская Республика,072021,6843,10,77,0
Курганская область,072021,7465,5,152,0
Свердловская область,072021,30549,22,154,7
Тюменская область,072021,13183,8,115,7
Ханты-Мансийский автономный округ –  Югра,072021,11671,16,63,0
Ямало-Ненецкий автономный округ,072021,4108,6,32,0
Челябинская область,072021,35022,64,352,7
Алтайский край,072021,21873,23,138,3
Иркутская область,072021,20734,2,74,3
Кемеровская область – Кузбасс,072021,27804,6,235,3
Красноярский край,072021,25298,96,273,11
Новосибирская область,072021,25557,131,185,21
Омская область,072021,13772,7,131,15
Республика Алтай,072021,2572,0,36,0
Республика Тыва,072021,4946,12,19,0
Республика Хакасия,072021,6095,7,24,2
Томская область,072021,9237,1,57,5
Амурская область,072021,9933,23,199,0
Еврейская автономная область,072021,1624,0,29,0
Забайкальский край,072021,11631,30,179,5
Камчатский край,072021,3163,25,58,1
Магаданская область,072021,1289,3,55,3
Приморский край,072021,18684,143,384,44
Республика Бурятия,072021,11564,104,114,1
Республика Саха (Якутия),072021,6813,2,26,0
Сахалинская область,072021,4680,15,96,1
Хабаровский край,072021,12031,3,57,2
Чукотский автономный округ,072021,408,0,31,0
Транспорт России,072021,21405,2,428,1078
УТ МВД по Южному ФО,072021,898,0,54,46
УТ МВД по Уральскому ФО,072021,2347,0,79,70
УТ МВД по Центральному ФО,072021,3797,1,19,493
УТ МВД по Приволжскому ФО,072021,3822,1,29,79
УТ МВД по Сибирскому ФО,072021,2656,0,45,54
УТ МВД по Северо-Западному ФО,072021,2329,0,21,152
УТ МВД по Дальневосточному ФО,072021,1872,0,72,29
УТ МВД по Северо-Кавказскому ФО,072021,1735,0,45,76
Белгородская область,072022,7896,1,66,4
Брянская область,072022,7727,7,89,12
Владимирская область,072022,8540,6,78,0
Воронежская область,072022,17393,19,66,2
Ивановская область,072022,6564,12,59,0
Калужская область,072022,7996,21,139,1
Костромская область,072022,4420,0,11,0
Курская область,072022,7432,1,72,11
г. Москва,072022,80878,165,100,35
Московская область,072022,42366,41,86,3
Липецкая область,072022,7233,0,49,2
Орловская область,072022,4438,5,25,0
Рязанская область,072022,4943,1,59,3
Смоленская область,072022,7890,10,139,1
Тамбовская область,072022,7600,15,43,0
Тверская область,072022,11529,9,138,2
Тульская область,072022,8191,12,73,10
Ярославская область,072022,8812,11,57,3
Архангельская область,072022,8793,11,86,2
Ненецкий автономный округ,072022,364,0,18,0
г. Санкт-Петербург,072022,33742,315,62,29
Ленинградская область,072022,15798,46,28,30
Вологодская область,072022,9278,10,51,4
Калининградская область,072022,7045,26,80,7
Мурманская область,072022,6257,18,100,3
Новгородская  область,072022,5788,9,32,0
Псковская область,072022,4665,24,85,8
Республика Карелия,072022,6582,23,88,9
Республика Коми,072022,7808,27,45,0
Кабардино-Балкарская Республика,072022,4024,1,36,0
Карачаево-Черкесская Республика,072022,2570,0,53,0
Республика Дагестан,072022,8602,3,71,12
Республика Ингушетия,072022,1217,0,39,0
Республика Северная Осетия – Алания,072022,4487,0,103,4
Ставропольский край,072022,18962,0,38,8
Чеченская Республика,072022,1234,0,17,1
Астраханская область,072022,7469,9,68,1
Волгоградская область,072022,20556,24,123,2
г. Севастополь,072022,3536,0,33,4
Ростовская область,072022,32412,7,295,5
Краснодарский край,072022,43442,6,526,15
Республика Адыгея,072022,2469,4,40,0
Республика Калмыкия,072022,1557,2,29,0
Республика Крым,072022,11407,3,170,7
Кировская область,072022,9443,123,117,0
Нижегородская область,072022,22251,39,68,17
Оренбургская область,072022,12117,19,217,2
Пензенская область,072022,7269,27,116,0
Пермский край,072022,22423,76,98,3
Республика Татарстан,072022,30443,7,85,6
Республика Башкортостан,072022,27613,53,205,8
Республика Марий Эл,072022,4198,9,69,0
Республика Мордовия,072022,4264,12,45,0
Самарская область,072022,26622,491,162,7
Саратовская область,072022,16491,138,125,1
Удмуртская Республика,072022,13580,12,138,2
Ульяновская область,072022,6545,27,44,1
Чувашская Республика,072022,6800,7,105,0
Курганская область,072022,7124,1,138,2
Свердловская область,072022,28878,13,167,6
Тюменская область,072022,13609,12,105,5
Ханты-Мансийский автономный округ –  Югра,072022,11300,15,62,2
Ямало-Ненецкий автономный округ,072022,3653,4,34,0
Челябинская область,072022,35311,81,368,9
Алтайский край,072022,21565,57,175,3
Иркутская область,072022,19807,9,66,0
Кемеровская область – Кузбасс,072022,25882,102,237,15
Красноярский край,072022,24519,186,208,14
Новосибирская область,072022,25154,176,172,43
Омская область,072022,12443,63,112,3
Республика Алтай,072022,2664,3,43,0
Республика Тыва,072022,3629,26,27,2
Республика Хакасия,072022,5272,25,55,3
Томская область,072022,9817,46,76,5
Амурская область,072022,8689,24,221,0
Еврейская автономная область,072022,1546,7,42,0
Забайкальский край,072022,11139,45,146,1
Камчатский край,072022,2980,27,54,3
Магаданская область,072022,1215,3,52,0
Приморский край,072022,18070,157,445,38
Республика Бурятия,072022,11157,74,91,3
Республика Саха (Якутия),072022,6787,0,65,1
Сахалинская область,072022,4473,8,85,0
Хабаровский край,072022,11530,7,74,11
Чукотский автономный округ,072022,445,0,30,0
Транспорт России,072022,20018,0,424,961
УТ МВД по Южному ФО,072022,889,0,37,63
УТ МВД по Уральскому ФО,072022,2230,0,43,83
УТ МВД по Центральному ФО,072022,3233,0,94,240
УТ МВД по Приволжскому ФО,072022,3569,0,47,165
УТ МВД по Сибирскому ФО,072022,2337,0,51,91
УТ МВД по Северо-Западному ФО,072022,2592,0,39,137
УТ МВД по Дальневосточному ФО,072022,1814,0,26,41
УТ МВД по Северо-Кавказскому ФО,072022,1740,0,37,87
Белгородская область,082021,9125,3,73,11
Брянская область,082021,9101,8,109,5
Владимирская область,082021,9942,5,128,2
Воронежская область,082021,18527,4,102,8
Ивановская область,082021,7552,4,50,1
Калужская область,082021,10036,4,178,2
Костромская область,082021,5401,1,10,0
Курская область,082021,8613,3,57,7
г. Москва,082021,93677,203,62,30
Московская область,082021,48239,9,111,13
Липецкая область,082021,7781,0,40,2
Орловская область,082021,4788,6,42,0
Рязанская область,082021,5640,1,46,6
Смоленская область,082021,8671,8,113,6
Тамбовская область,082021,8791,7,36,1
Тверская область,082021,12889,1,79,3
Тульская область,082021,8798,25,109,12
Ярославская область,082021,9613,9,42,1
Архангельская область,082021,10195,6,59,7
Ненецкий автономный округ,082021,464,0,64,0
